"order_id";"order_create_date";"order_pickup_date";"order_pickup_store";"pickup_store_name";"pickup_store_address";"pickup_store_phone";"pickup_store_city";"pickup_store_state";"order_return_date";"order_return_store";"return_store_name";"return_store_address";"return_store_phone";"return_store_city";"return_store_state"
77;"20050915";"20050915";37;"Seaford_store";"3981 Augustine Drive";"115-535-0183";"Seaford                       ";"Victoria";"20050924";37;"Seaford_store";"3981 Augustine Drive";"115-535-0183";"Seaford                       ";"Victoria"
78;"20050916";"20050917";38;"South Melbourne_store";"8915 Woodside Way";"229-535-0112";"South Melbourne               ";"Victoria";"20050924";13;"Port Macquarie_store";"4785 Scott Street";"717-535-0164";"Port Macquarie                ";"New South Wales"
79;"20050917";"20050917";39;"Sunbury_store";"8357 Sandy Cove Lane";"1 (11) 543 535-0114";"Sunbury                       ";"Victoria";"20050925";14;"Rhodes_store";"7902 Hudson Ave.";"817-535-0185";"Rhodes                        ";"New South Wales"
80;"20050918";"20050921";15;"Silverwater_store";"9011 Tank Drive";"431-535-0156";"Silverwater                   ";"New South Wales";"20051019";15;"Silverwater_store";"9011 Tank Drive";"431-535-0156";"Silverwater                   ";"New South Wales"
81;"20050919";"20050919";13;"Port Macquarie_store";"4785 Scott Street";"717-535-0164";"Port Macquarie                ";"New South Wales";"20050924";13;"Port Macquarie_store";"4785 Scott Street";"717-535-0164";"Port Macquarie                ";"New South Wales"
82;"20050920";"20050920";12;"North Sydney_store";"1224 Shoenic";"1 (11) 543 535-0117";"North Sydney                  ";"New South Wales";"20051011";12;"North Sydney_store";"1224 Shoenic";"1 (11) 543 535-0117";"North Sydney                  ";"New South Wales"
83;"20050921";"20050921";3;"Darlinghurst_store";"5844 Linden Land";"1 (11) 543 535-0184";"Darlinghurst                  ";"New South Wales";"20050926";3;"Darlinghurst_store";"5844 Linden Land";"1 (11) 543 535-0184";"Darlinghurst                  ";"New South Wales"
84;"20050922";"20050923";4;"Goulburn_store";"1825 Village Pl.";"1 (11) 543 535-0162";"Goulburn                      ";"New South Wales";"20051010";4;"Goulburn_store";"1825 Village Pl.";"1 (11) 543 535-0162";"Goulburn                      ";"New South Wales"
85;"20050923";"20050924";20;"Brisbane_store";"7832 Landing Dr";"262-535-0112";"Brisbane                      ";"Queensland";"20051014";20;"Brisbane_store";"7832 Landing Dr";"262-535-0112";"Brisbane                      ";"Queensland"
86;"20050924";"20050927";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland";"20051012";6;"Lavender Bay_store";"7305 Humphrey Drive";"1 (11) 543 535-0151";"Lavender Bay                  ";"New South Wales"
87;"20050925";"20050925";7;"Malabar_store";"2612 Berry Dr";"1 (11) 543 535-0184";"Malabar                       ";"New South Wales";"20051013";7;"Malabar_store";"2612 Berry Dr";"1 (11) 543 535-0184";"Malabar                       ";"New South Wales"
88;"20050926";"20050926";23;"Gold Coast_store";"1769 Nicholas Drive";"589-535-0185";"Gold Coast                    ";"Queensland";"20051017";23;"Gold Coast_store";"1769 Nicholas Drive";"589-535-0185";"Gold Coast                    ";"Queensland"
89;"20050927";"20050927";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland";"20051012";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland"
90;"20050928";"20050929";20;"Brisbane_store";"7832 Landing Dr";"262-535-0112";"Brisbane                      ";"Queensland";"20051019";20;"Brisbane_store";"7832 Landing Dr";"262-535-0112";"Brisbane                      ";"Queensland"
91;"20050929";"20050929";11;"North Ryde_store";"7800 Corrinne Court";"1 (11) 543 535-0169";"North Ryde                    ";"New South Wales";"20051017";10;"Newcastle_store";"3839 Northgate Road";"1 (11) 543 535-0110";"Newcastle                     ";"New South Wales"
92;"20050930";"20050930";24;"Hawthorne_store";"4499 Valley Crest";"452-535-0188";"Hawthorne                     ";"Queensland";"20051015";24;"Hawthorne_store";"4499 Valley Crest";"452-535-0188";"Hawthorne                     ";"Queensland"
93;"20051001";"20051001";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland";"20051007";26;"Rockhampton_store";"2596 Franklin Canyon Road";"1 (11) 543 535-0178";"Rockhampton                   ";"Queensland"
94;"20051002";"20051002";24;"Hawthorne_store";"4499 Valley Crest";"452-535-0188";"Hawthorne                     ";"Queensland";"20051007";24;"Hawthorne_store";"4499 Valley Crest";"452-535-0188";"Hawthorne                     ";"Queensland"
95;"20051003";"20051003";25;"Hervey Bay_store";"8734 Oxford Place";"746-535-0186";"Hervey Bay                    ";"Queensland";"20051008";25;"Hervey Bay_store";"8734 Oxford Place";"746-535-0186";"Hervey Bay                    ";"Queensland"
96;"20051004";"20051005";26;"Rockhampton_store";"2596 Franklin Canyon Road";"1 (11) 543 535-0178";"Rockhampton                   ";"Queensland";"20051009";26;"Rockhampton_store";"2596 Franklin Canyon Road";"1 (11) 543 535-0178";"Rockhampton                   ";"Queensland"
97;"20051005";"20051005";17;"St. Leonards_store";"9666 Northridge Ct.";"135-535-0171";"St. Leonards                  ";"New South Wales";"20051013";14;"Rhodes_store";"7902 Hudson Ave.";"817-535-0185";"Rhodes                        ";"New South Wales"
98;"20051006";"20051007";26;"Rockhampton_store";"2596 Franklin Canyon Road";"1 (11) 543 535-0178";"Rockhampton                   ";"Queensland";"20051027";26;"Rockhampton_store";"2596 Franklin Canyon Road";"1 (11) 543 535-0178";"Rockhampton                   ";"Queensland"
99;"20051007";"20051008";14;"Rhodes_store";"7902 Hudson Ave.";"817-535-0185";"Rhodes                        ";"New South Wales";"20051028";14;"Rhodes_store";"7902 Hudson Ave.";"817-535-0185";"Rhodes                        ";"New South Wales"
100;"20051008";"20051009";20;"Brisbane_store";"7832 Landing Dr";"262-535-0112";"Brisbane                      ";"Queensland";"20051017";20;"Brisbane_store";"7832 Landing Dr";"262-535-0112";"Brisbane                      ";"Queensland"
101;"20051009";"20051009";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland";"20051018";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland"
102;"20051010";"20051010";17;"St. Leonards_store";"9666 Northridge Ct.";"135-535-0171";"St. Leonards                  ";"New South Wales";"20051018";22;"East Brisbane_store";"8148 W. Lake Dr.";"622-535-0158";"East Brisbane                 ";"Queensland"
103;"20051011";"20051011";18;"Sydney_store";"7330 Saddlehill Lane";"1 (11) 543 535-0195";"Sydney                        ";"New South Wales";"20051022";10;"Newcastle_store";"3839 Northgate Road";"1 (11) 543 535-0110";"Newcastle                     ";"New South Wales"
104;"20051012";"20051015";24;"Hawthorne_store";"4499 Valley Crest";"452-535-0188";"Hawthorne                     ";"Queensland";"20051021";24;"Hawthorne_store";"4499 Valley Crest";"452-535-0188";"Hawthorne                     ";"Queensland"
105;"20051013";"20051013";25;"Hervey Bay_store";"8734 Oxford Place";"746-535-0186";"Hervey Bay                    ";"Queensland";"20051018";25;"Hervey Bay_store";"8734 Oxford Place";"746-535-0186";"Hervey Bay                    ";"Queensland"
106;"20051014";"20051014";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland";"20051025";10;"Newcastle_store";"3839 Northgate Road";"1 (11) 543 535-0110";"Newcastle                     ";"New South Wales"
107;"20051015";"20051015";27;"Townsville_store";"8211 Leeds Ct.";"1 (11) 543 535-0131";"Townsville                    ";"Queensland";"20051024";27;"Townsville_store";"8211 Leeds Ct.";"1 (11) 543 535-0131";"Townsville                    ";"Queensland"
108;"20051016";"20051017";20;"Brisbane_store";"7832 Landing Dr";"262-535-0112";"Brisbane                      ";"Queensland";"20051021";20;"Brisbane_store";"7832 Landing Dr";"262-535-0112";"Brisbane                      ";"Queensland"
109;"20051017";"20051017";29;"Findon_store";"9111 Rose Ann Ave";"1 (11) 543 535-0116";"Findon                        ";"South Australia";"20051022";15;"Silverwater_store";"9011 Tank Drive";"431-535-0156";"Silverwater                   ";"New South Wales"
110;"20051018";"20051021";25;"Hervey Bay_store";"8734 Oxford Place";"746-535-0186";"Hervey Bay                    ";"Queensland";"20051119";25;"Hervey Bay_store";"8734 Oxford Place";"746-535-0186";"Hervey Bay                    ";"Queensland"
111;"20051019";"20051019";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland";"20051110";21;"Caloundra_store";"7156 Rose Dr.";"550-535-0163";"Caloundra                     ";"Queensland"
112;"20051020";"20051021";32;"Bendigo_store";"6465 Detroit Ave.";"1 (11) 543 535-0195";"Bendigo                       ";"Victoria";"20051025";10;"Newcastle_store";"3839 Northgate Road";"1 (11) 543 535-0110";"Newcastle                     ";"New South Wales"
113;"20051021";"20051022";10;"Newcastle_store";"3839 Northgate Road";"1 (11) 543 535-0110";"Newcastle                     ";"New South Wales";"20051026";14;"Rhodes_store";"7902 Hudson Ave.";"817-535-0185";"Rhodes                        ";"New South Wales"
114;"20051022";"20051023";26;"Rockhampton_store";"2596 Franklin Canyon Road";"1 (11) 543 535-0178";"Rockhampton                   ";"Queensland";"20051027";26;"Rockhampton_store";"2596 Franklin Canyon Road";"1 (11) 543 535-0178";"Rockhampton                   ";"Queensland"
115;"20051023";"20051023";35;"Melbourne_store";"5167 Condor Place";"1 (11) 543 535-0136";"Melbourne                     ";"Victoria";"20051028";35;"Melbourne_store";"5167 Condor Place";"1 (11) 543 535-0136";"Melbourne                     ";"Victoria"
116;"20051024";"20051025";10;"Newcastle_store";"3839 Northgate Road";"1 (11) 543 535-0110";"Newcastle                     ";"New South Wales";"20051108";25;"Hervey Bay_store";"8734 Oxford Place";"746-535-0186";"Hervey Bay                    ";"Queensland"
117;"20051025";"20051026";14;"Rhodes_store";"7902 Hudson Ave.";"817-535-0185";"Rhodes                        ";"New South Wales";"20051026";15;"Silverwater_store";"9011 Tank Drive";"431-535-0156";"Silverwater                   ";"New South Wales"
118;"20051026";"20051026";15;"Silverwater_store";"9011 Tank Drive";"431-535-0156";"Silverwater                   ";"New South Wales";"20051028";16;"Springwood_store";"244 Willow Pass Road";"208-535-0142";"Springwood                    ";"New South Wales"
119;"20051027";"20051028";16;"Springwood_store";"244 Willow Pass Road";"208-535-0142";"Springwood                    ";"New South Wales";"20051115";39;"Sunbury_store";"8357 Sandy Cove Lane";"1 (11) 543 535-0114";"Sunbury                       ";"Victoria"
